Shoulder Angle (theta),armX,wristX,shouldX+wristX,phi prime,Wrist Angle (phi),Reach,Height(Y),Constants,
90.0,0.0,53.0,53.0,0.0,-90.0,38.0,60.0,D,53.0
85.0,1.9,51.1,53.0,0.0,-85.0,39.9,59.9,shoulder,22.0
80.0,3.8,49.2,53.0,0.0,-80.0,41.8,59.7,wrist,38.0
75.0,5.7,47.3,53.0,0.0,-75.0,43.7,59.3,htAboveFloor,38.0
70.0,7.5,45.5,53.0,0.0,-70.0,45.5,58.7,,
65.0,9.3,43.7,53.0,0.0,-65.0,47.3,57.9,,
60.0,11.0,42.0,53.0,0.0,-60.0,49.0,57.1,,
55.0,12.6,40.4,53.0,0.0,-55.0,50.6,56.0,,
50.0,14.1,38.9,53.0,0.0,-50.0,52.1,54.9,,
45.0,15.6,37.4,53.0,0.0,-45.0,53.6,53.6,,
40.0,16.9,36.1,53.0,18.0,-22.0,53.0,63.9,,
35.0,18.0,35.0,53.0,23.0,-12.0,53.0,65.5,,
30.0,19.1,33.9,53.0,26.7,-3.3,53.0,66.1,,
25.0,19.9,33.1,53.0,29.5,4.5,53.0,66.0,,
20.0,20.7,32.3,53.0,31.7,11.7,53.0,65.5,,
15.0,21.3,31.7,53.0,33.3,18.3,53.0,64.6,,
10.0,21.7,31.3,53.0,34.5,24.5,53.0,63.3,,
5.0,21.9,31.1,53.0,35.1,30.1,53.0,61.8,,
0.0,22.0,31.0,53.0,35.3,35.3,53.0,60.0,,
-5.0,21.9,31.1,53.0,35.1,40.1,53.0,57.9,,
-10.0,21.7,31.3,53.0,34.5,44.5,53.0,55.7,,
-15.0,21.3,31.7,53.0,33.3,48.3,53.0,53.2,,
-20.0,20.7,32.3,53.0,31.7,51.7,53.0,50.5,,
-25.0,19.9,33.1,53.0,29.5,54.5,53.0,47.4,,
-30.0,19.1,33.9,53.0,26.7,56.7,53.0,44.1,,
-35.0,18.0,35.0,53.0,23.0,58.0,53.0,40.2,,
-40.0,16.9,36.1,53.0,18.0,58.0,53.0,35.6,,
-45.0,15.6,37.4,53.0,0.0,45.0,53.6,22.4,,
-50.0,14.1,38.9,53.0,0.0,50.0,52.1,21.1,,
-55.0,12.6,40.4,53.0,0.0,55.0,50.6,20.0,,
-60.0,11.0,42.0,53.0,0.0,60.0,49.0,18.9,,
-65.0,9.3,43.7,53.0,0.0,65.0,47.3,18.1,,
-70.0,7.5,45.5,53.0,0.0,70.0,45.5,17.3,,
-75.0,5.7,47.3,53.0,0.0,75.0,43.7,16.7,,
-80.0,3.8,49.2,53.0,0.0,80.0,41.8,16.3,,
-85.0,1.9,51.1,53.0,0.0,85.0,39.9,16.1,,
-90.0,0.0,53.0,53.0,0.0,90.0,38.0,16.0,,
